story_number,episode_title,type,first_aired,uk_viewers,rating_AI,duration,season,ep_num,rating_imdb,rating_n,desc,writer,director,doctor_who_actor,,Showrunner
208,Amy's Choice,episode,5/15/2010,7.55,84,45,5,7,8.2,5989,"Five years after finally leaving the TARDIS Amy and Rory now married, live in the quiet little village of Leadworth. But everything is not what it would seem.",Simon Nye,Catherine Morshead,Matt Smith,,Steven Moffat
209a,The Hungry Earth,episode,5/22/2010,6.49,86,45,5,8,7.2,5316,"When a drill drills to deep into the earth, something that had been hibernating beneath the earth's crust is woken, and it's hungry for revenge.",Chris Chibnall,Ashley Way,Matt Smith,,Steven Moffat
209b,Cold Blood,episode,5/29/2010,7.49,85,45,5,9,7.4,5307,"The Silurians are awake, and Angry. The Silurians are preparing for war, A war that could decide who gets to live on earth, The Silurians or-the humans..",Chris Chibnall,Ashley Way,Matt Smith,,Steven Moffat
210,Vincent and the Doctor,episode,6/5/2010,6.76,86,45,5,10,9.3,10424,The Doctor and Amy travel back in time to meet Vincent Van Gogh and face an invisible monster that only the painter can see.,Richard Curtis,Jonny Campbell,Matt Smith,,Steven Moffat
211,The Lodger,episode,6/12/2010,6.44,87,45,5,11,8.1,5942,"After the TARDIS teleports without him, the doctor tries to find out what is stopping it from landing and traces it to a seemingly ordinary, two storey house.",Gareth Roberts,Catherine Morshead,Matt Smith,,Steven Moffat
212a,The Pandorica Opens,episode,6/19/2010,7.57,88,50,5,12,9.1,6761,"River Song returns to deliver The Doctor a serious warning from his allies: the mythical Pandorica, said to contain the most feared creature in the entire Universe, is opening.",Steven Moffat,Toby Haynes,Matt Smith,,Steven Moffat
212b,The Big Bang,episode,6/26/2010,6.7,89,55,5,13,9.1,6969,"The Pandorica opened, silence fell, and now planet Earth is left alone in the universe. Jumping through time, the doctor must figure out a way to bring back those who never were and save his friends from the collapse of reality.",Steven Moffat,Toby Haynes,Matt Smith,,Steven Moffat
213,A Christmas Carol,special,12/25/2010,12.11,83,60,6,0,8.6,6999,"on Christmas eve, The doctor travels into the past of a bitter old man who has the power to save Amy and Rory but doesn't want to save them, so that he doesn't grow up to be mean and bitter.",Steven Moffat,Toby Haynes,Matt Smith,,Steven Moffat
214a,The Impossible Astronaut,episode,4/23/2011,8.86,88,45,6,1,8.9,6855,"The Doctor, Amy, Rory and River Song are reunited in the Utah desert.",Steven Moffat,Toby Haynes,Matt Smith,,Steven Moffat
214b,Day of the Moon,episode,4/30/2011,7.3,87,45,6,2,8.8,6326,The Doctor and his allies mount a rebellion against invaders who have been controlling humanity from the very beginning.,Steven Moffat,Toby Haynes,Matt Smith,,Steven Moffat
215,The Curse of the Black Spot,episode,5/7/2011,7.85,86,45,6,3,6.7,5577,"The Doctor, Amy and Rory find themselves aboard a marooned pirate ship whose crew is being picked off one by one by a beautiful - and deadly - Siren.",Stephen Thompson,Jeremy Webb,Matt Smith,,Steven Moffat
216,The Doctor's Wife,episode,5/14/2011,7.97,87,45,6,4,9,7385,The Doctor is lured to a sentient asteroid outside of the Universe by a Time Lord distress signal and soon realises his TARDIS is in grave danger.,Neil Gaiman,Richard Clark,Matt Smith,,Steven Moffat
217a,The Rebel Flesh,episode,5/21/2011,7.35,85,45,6,5,7.2,4976,"A solar tsunami sends the TARDIS crew to an acid mining factory in the 22nd century, where a small team of workers come under attack from their doppelgangers.",Matthew Graham,Julian Simpson,Matt Smith,,Steven Moffat
217b,The Almost People,episode,5/28/2011,6.72,86,45,6,6,7.4,4928,The gangers and humans battle for their lives as the factory crumbles and the Doctor tries to keep the peace - can everyone make it off the island alive?,Matthew Graham,Julian Simpson,Matt Smith,,Steven Moffat
218,A Good Man Goes to War,episode,6/4/2011,7.51,88,50,6,7,9.1,7097,A member of The Doctor's team has been abducted and he will call in every favor and maybe even go to war to get them back.,Steven Moffat,Peter Hoar,Matt Smith,,Steven Moffat
219,Let's Kill Hitler,episode,8/27/2011,8.1,85,50,6,8,8,5680,"The search for Melody Pond brings the Doctor and his friends to Berlin in 1938, face-to-face with Adolf Hitler, River Song and a justice-serving, shapeshifting robot.",Steven Moffat,Richard Senior,Matt Smith,,Steven Moffat
220,Night Terrors,episode,9/3/2011,7.07,86,45,6,9,7,4867,"Receiving a powerful distress call from a terrified little boy, the Doctor and his friends soon find that the monsters in his cupboard are real - and deadly.",Mark Gatiss,Richard Clark,Matt Smith,,Steven Moffat
